Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20437520,Road Maintenance(Engg),Road cutting,2023-12-31 11:29:00.000000000,Chamrajpet,Closed,Closed,Umesh/AEE
20437519,Electrical,Street Light Not Working,2023-12-31 11:26:00.000000000,Jnanabharathi Ward,Closed,Attended,Gavi Siddiah/AEE
20437518,Forest,obstructions Branches / Trees.,2023-12-31 11:15:00.000000000,Nandini Layout,Closed,Upload photos compulsory,sudarshan/DYRFO
20437517,Electrical,Street Light Not Working,2023-12-31 11:13:00.000000000,Nandini Layout,Closed,Attended,Suresh/AEE
20437516,Electrical,Street Light Not Working,2023-12-31 11:02:00.000000000,Ganeshmandira Ward,Closed,Attended,Umesh/AEE
20437515,Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,2023-12-31 11:00:00.000000000,Doddanekkundi,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20437514,Electrical,Street Light Not Working,2023-12-31 11:00:00.000000000,Jnanabharathi Ward,Closed,Attended,Gavi Siddiah/AEE
20437513,Road Maintenance(Engg),Debris Removal / Construction Material,2023-12-31 10:58:00.000000000,HBR Layout,Closed,Issue closed,T C Ravikumar/AEE
20437512,Revenue Department,"Khata Services (Registration, Transfer, Bifurcation and Amalgamation)",2023-12-31 10:49:00.000000000,Konena Agrahara,Closed,Yes,Shanthesh/RO
20437511,Electrical,Street Light Not Working,2023-12-31 10:37:00.000000000,Hongasandra,Closed,Attended,Sandeep/AEE
20437510,Electrical,Requirement For New Street Lights,2023-12-31 10:36:00.000000000,Hongasandra,Closed,Attended,Sandeep/AEE
20437509,Solid Waste (Garbage) Related,Garbage dump,2023-12-31 10:23:00.000000000,Singasandra,Closed,Attended the Complaint,Netravathi/AEE
20437508,Solid Waste (Garbage) Related,Sweeping not done,2023-12-31 10:16:00.000000000,Ramamurthy Nagar,Closed,Clear,Chandrakala K/JHI
20437507,Electrical,Street Light Not Working,2023-12-31 10:04:00.000000000,Dr.Rajkumar Ward,Closed,complaint attended,Suresh/AEE
20437506,Electrical,Street Light Not Working,2023-12-31 10:04:00.000000000,Hosakerehalli,Closed,Attended,Umesh/AEE
20437505,Electrical,Street Light Not Working,2023-12-31 10:03:00.000000000,Jakkur,Closed,Resolved,Yelahanka AEE Electrical/AEE
20437504,Electrical,Street Light Not Working,2023-12-31 10:01:00.000000000,Jakkur,Closed,Resolved,Yelahanka AEE Electrical/AEE
20437503,Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,2023-12-31 10:00:00.000000000,Doddanekkundi,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20437502,Electrical,Street Light Not Working,2023-12-31 10:00:00.000000000,Shanthi Nagar,Closed,Attended,Durga Prasad/AEE
20437501,Electrical,Street Light Not Working,2023-12-31 09:58:00.000000000,Basavanapura,Closed,Attended,Sachin Malagi/AE
20437500,Road Infrastructure,Road Infrastructure,2023-12-31 09:52:00.000000000,Chamrajpet,Closed,Complaint resolved,Manjunath/AEE
20437499,Road Infrastructure,Road Infrastructure,2023-12-31 09:48:00.000000000,Chamrajpet,Non Relevant,\N,BBMP Whatsapp/Customer Support Representative
20437498,Electrical,Street Light Not Working,2023-12-31 09:48:00.000000000,Jakkur,Closed,Resolved,Yelahanka AEE Electrical/AEE
20437497,Electrical,Street Light Not Working,2023-12-31 09:45:00.000000000,Kengeri,Closed,Attended,Gavi Siddiah/AEE
20437496,Electrical,Street Light Not Working,2023-12-31 09:33:00.000000000,Shivaji Nagar,Closed,Attended,Sandeep Singh/AEE
20437495,Road Maintenance(Engg),Potholes,2023-12-31 09:28:00.000000000,Bellandur,Closed,Work is under progress,Markandiaha/AEE
20437494,Electrical,Street Light Not Working,2023-12-31 09:26:00.000000000,Padmanabha Nagar,Closed,Attended,Umesh/AEE
20437493,Electrical,Street Light Not Working,2023-12-31 09:22:00.000000000,Anjanapur,Closed,Attended,Sandeep/AEE
20437492,Electrical,Street Light Not Working,2023-12-31 09:18:00.000000000,Jakkur,Closed,Resolved,Yelahanka AEE Electrical/AEE
20437491,Electrical,Street Light Not Working,2023-12-31 09:18:00.000000000,Sampangiram Nagar,Closed,Attended,Sandeep Singh/AEE
20437490,Electrical,Street Light Not Working,2023-12-31 09:11:00.000000000,Kamakshipalya,Closed,complaint attended,Suresh/AEE
20437489,Electrical,Street Light Not Working,2023-12-31 09:06:00.000000000,Vignana Nagar,Closed,Attended,Sachin Malagi/AE
20437488,Electrical,Street Light Not Working,2023-12-31 09:04:00.000000000,Jakkasandra,Closed,Attended,Jnanesh/AEE
20437487,Electrical,Street Light Not Working,2023-12-31 09:03:00.000000000,K.R.Puram,Closed,Attended,Sachin Malagi/AE
20437486,Electrical,Street Light Not Working,2023-12-31 09:01:00.000000000,Hoodi,Closed,Attended,Sachin Malagi/AE
20437485,Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,2023-12-31 09:00:00.000000000,Doddanekkundi,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20437484,Electrical,Street Light Not Working,2023-12-31 08:59:00.000000000,Shakthiganapathi Nagar,Closed,Attended,Suresh/AEE
20437483,Health Dept,Indira Canteen,2023-12-31 08:57:00.000000000,Nagapura,Closed,Attended,Dr manjula/MOH
20437482,Electrical,Street Light Not Working,2023-12-31 08:48:00.000000000,Kushal Nagar,Closed,Attended,Sandeep Singh/AEE
20437481,Electrical,Street Light Not Working,2023-12-31 08:47:00.000000000,Adugodi,Closed,Attended,Jnanesh/AEE
20437480,Electrical,Street Light Not Working,2023-12-31 08:45:00.000000000,Jakkur,Closed,Resolved,Yelahanka AEE Electrical/AEE
20437479,Electrical,Street Light Not Working,2023-12-31 08:43:00.000000000,Hosahalli,Closed,Attended,Umesh/AEE
20437478,Solid Waste (Garbage) Related,Garbage dump,2023-12-31 08:42:00.000000000,Jagajeevanram Nagar,Closed,Resolved,Lakshminarasimaiah/JHI
20437477,Solid Waste (Garbage) Related,Garbage dump,2023-12-31 08:40:00.000000000,Herohalli,Closed,Attended,Smt Poornima J B/AEE
20437476,Electrical,Street Light Not Working,2023-12-31 08:35:00.000000000,Kengeri,Closed,Attended,Gavi Siddiah/AEE
