Zone & Location,Streetlight Code,Landmark,Type of Streetlight,Remarks,Condition on 17-June-19,Condition on 2-July-19
Z4 7th Cross from Cgm Road,Z4-7C-01,Near Cgm Rd Corner,LED,,ok,dead
Z4 7th Cross from Cgm Road,,NEW SL REQD,,Pole Present,,
Z4 7th Cross from Cgm Road,Z4-7C-02,Emb. Woods Out Gate,Sodium,check4pruning,ok,ok
Z4 7th Cross from Cgm Road,Z4-7C-03,Donata,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,Z4-7C-04,Rajhans,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,,,,,,
Z4 7th Cross from Cgm Road,Z4-7C-05,Mandoth Tower,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,Z4-7C-06,14th Main Corner,Sodium,,ok,ok
Z4 7th Cross from Cgm Road,,NEW SL REQD,,Pole Absent,,
Z4 7th Cross from Cgm Road,Z4-7C-07,11th Main Corner,Sodium,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-01,7th Cross Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-02,Thatte Idli,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-03,Kishore Singh Resi.,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-04,Murthy Medicals,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-05,Suraj Xerox shop,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-06,5th Cross Corner,LED,,dead,ok
Z4 8th Main from 7th Cross,Z4-8M-07,4th Cross Corner,LED,,dead,dead
Z4 8th Main from 7th Cross,Z4-8M-08,3rd Cross Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-09,2nd Cross Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-10,Kalyan Shetty Resi.,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-11,1st Corner,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-12,next to Corp Bank ATM,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-13,Wolfpack1,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-14,Wolfpack2,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-15,1st A Cross,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-16,Desserted,LED,,ok,ok
Z4 8th Main from 7th Cross,Z4-8M-17,MCC Institute,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-01,MCC1,Sodium,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-02,MCC2,LED,,dead,ok
Z4 Palace Road from 8th Main,Z4-PR-03,MCC3,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-04,MCC4,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-05,CCD,LED,,dead,dead
Z4 Palace Road from 8th Main,Z4-PR-06,Shivaligaiah Resi.,LED,,ok,ok
Z4 Palace Road from 8th Main,,NEW SL REQD,,Pole Present,,
Z4 Palace Road from 8th Main,Z4-PR-07,I BHAAN (Niton),LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-08,I NATURE 1 (Niton),LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-09,I NATURE 2 (Niton),LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-10,Cgm Rd Rt Turn Corner,LED,,ok,ok
Z4 Palace Road from 8th Main,Z4-PR-11,Cgm Rd Lt Turn Corner,LED,,ok,ok
Z4 Cunn Road from Palace Road,,,,,,POLE ABSENT
Z4 Cunn Road from Palace Road,Z4-CR-01,opp HM Realtors,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-02,Bus Stand,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-03,opp Bus Stand,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-04,Neofoods(Niton),LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-05,Opp Old SBM,LED,POLE ABSENT,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-06,Outside CIE 1,LED,check4pruning,dead,dead
Z4 Cunn Road from Palace Road,Z4-CR-07,Opp CIE,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-08,Outside CIE 2,LED,,dead,dead
Z4 Cunn Road from Palace Road,Z4-CR-09,Sai Leela,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-10,Emb. Woods Mn Gate,LED,,dead,dead
Z4 Cunn Road from Palace Road,Z4-CR-11,FAT Buddha,LED,,ok,ok
Z4 Cunn Road from Palace Road,Z4-CR-12,Embassy Links,LED,check4pruning,dead,dead
Z4 14th Main from 7th Cross,Z4-14M-01,Mandoth Resi.,Sodium,,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-02,Alur Resi.,Sodium,,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-03,Hebbar Resi.,Sodium,,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-04,Mallya,Sodium,check4pruning,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-05,Madhu Bhandari Resi.,Sodium,check4pruning,ok,ok
Z4 14th Main from 7th Cross,Z4-14M-06,Vasanta Costa,Sodium,check4pruning,ok,ok
Z4 14th Main from 7th Cross,,NEW SL REQD,,Pole Absent,,
Z4 14th Main from 7th Cross,Z4-14M-07,2nd Cross Corner,Sodium,,ok,ok
